hidden1,hidden2,dropout1,dropout2,lr,weight_decay,AUC
128,128,0.3,0.2,0.001,0.0001,0.8943619999999999
256,64,0.4,0.3,0.0005,1e-05,0.8884939999999999
256,128,0.4,0.2,0.001,1e-05,0.886044
256,128,0.3,0.2,0.001,0.0001,0.882536
128,128,0.4,0.2,0.0005,0.0001,0.882264
128,128,0.3,0.3,0.001,1e-05,0.8815079999999998
128,64,0.4,0.3,0.001,0.0001,0.8810439999999999
256,64,0.3,0.2,0.001,1e-05,0.879906
128,128,0.4,0.3,0.0005,1e-05,0.8798799999999999
128,64,0.3,0.3,0.0005,0.0001,0.877548
256,64,0.3,0.3,0.0005,0.0001,0.8770580000000001
128,128,0.3,0.3,0.001,0.0001,0.87645
128,128,0.3,0.2,0.001,1e-05,0.87592
256,128,0.3,0.2,0.0005,0.0001,0.8752759999999999
256,64,0.3,0.2,0.0005,0.0001,0.87462
256,128,0.3,0.2,0.0005,1e-05,0.8740119999999999
128,128,0.4,0.2,0.001,0.0001,0.8738100000000001
128,128,0.4,0.2,0.001,1e-05,0.873348
256,128,0.3,0.3,0.001,0.0001,0.872972
128,128,0.3,0.2,0.0005,0.0001,0.872804
128,64,0.3,0.3,0.001,0.0001,0.8713479999999999
256,128,0.4,0.3,0.001,0.0001,0.8704239999999999
256,64,0.4,0.2,0.0005,0.0001,0.8702319999999999
256,64,0.4,0.2,0.0005,1e-05,0.8700159999999999
256,128,0.4,0.2,0.001,0.0001,0.869638
256,64,0.4,0.2,0.001,1e-05,0.8694080000000001
128,64,0.4,0.3,0.001,1e-05,0.8693160000000001
256,128,0.4,0.3,0.0005,0.0001,0.869052
128,128,0.4,0.3,0.0005,0.0001,0.8685039999999999
128,128,0.3,0.3,0.0005,0.0001,0.8685000000000002
256,128,0.4,0.2,0.0005,0.0001,0.8683120000000001
128,64,0.3,0.3,0.001,1e-05,0.8682
256,128,0.3,0.3,0.0005,1e-05,0.867494
128,64,0.3,0.2,0.0005,1e-05,0.866628
256,64,0.3,0.3,0.0005,1e-05,0.866514
256,64,0.3,0.2,0.001,0.0001,0.8659880000000001
256,128,0.4,0.2,0.0005,1e-05,0.86596
128,64,0.3,0.2,0.001,1e-05,0.865662
128,64,0.4,0.2,0.001,0.0001,0.8655039999999999
256,64,0.3,0.3,0.001,1e-05,0.8654
256,128,0.3,0.3,0.001,1e-05,0.8651340000000001
256,64,0.4,0.3,0.001,1e-05,0.8648859999999999
256,64,0.3,0.2,0.0005,1e-05,0.8646699999999999
128,64,0.4,0.3,0.0005,1e-05,0.8634599999999999
128,64,0.4,0.2,0.001,1e-05,0.86344
128,64,0.4,0.2,0.0005,0.0001,0.8615200000000001
256,64,0.4,0.3,0.001,0.0001,0.8614999999999999
128,128,0.4,0.2,0.0005,1e-05,0.8608119999999999
128,64,0.4,0.3,0.0005,0.0001,0.8603599999999999
128,128,0.3,0.3,0.0005,1e-05,0.8598399999999999
256,128,0.3,0.2,0.001,1e-05,0.8594239999999999
256,128,0.4,0.3,0.0005,1e-05,0.858716
128,64,0.3,0.3,0.0005,1e-05,0.8586859999999998
128,64,0.3,0.2,0.001,0.0001,0.8560920000000001
128,64,0.3,0.2,0.0005,0.0001,0.855752
128,64,0.4,0.2,0.0005,1e-05,0.855736
128,128,0.4,0.3,0.001,1e-05,0.8543419999999999
128,128,0.4,0.3,0.001,0.0001,0.8543040000000001
256,64,0.3,0.3,0.001,0.0001,0.853498
256,64,0.4,0.2,0.001,0.0001,0.852604
128,128,0.3,0.2,0.0005,1e-05,0.8501960000000001
256,128,0.4,0.3,0.001,1e-05,0.8449519999999999
256,64,0.4,0.3,0.0005,0.0001,0.8420560000000001
256,128,0.3,0.3,0.0005,0.0001,0.835782
